x,y,dx,dy,distance,velocity,hold_time,flight_time,user_id,label,session
1030.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1030.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1032.0,959.0,2.0,-1.0,2.23606797749979,282.6315760973278,0.0,0.0,1,1,session_20260913_152555.csv
1033.0,956.0,1.0,-3.0,3.1622776601683795,396.4194582171262,0.0,0.0,1,1,session_20260913_152555.csv
1039.0,948.0,6.0,-8.0,10.0,1249.1256121174642,0.0,0.0,1,1,session_20260913_152555.csv
1040.0,938.0,1.0,-10.0,10.04987562112089,1256.1716440377888,0.0,0.0,1,1,session_20260913_152555.csv
1041.0,932.0,1.0,-6.0,6.082762530298219,759.8039559674692,0.0,0.0,1,1,session_20260913_152555.csv
1043.0,928.0,2.0,-4.0,4.47213595499958,558.4794579120642,0.0,0.0,1,1,session_20260913_152555.csv
1044.0,923.0,1.0,-5.0,5.0990195135927845,639.9612828517534,0.0,0.0,1,1,session_20260913_152555.csv
1045.0,921.0,1.0,-2.0,2.23606797749979,277.82073622494835,0.0,0.0,1,1,session_20260913_152555.csv
1046.0,918.0,1.0,-3.0,3.1622776601683795,390.2119521430417,0.0,0.0,1,1,session_20260913_152555.csv
1047.0,918.0,1.0,0.0,1.0,31.23126124332972,0.0,0.0,1,1,session_20260913_152555.csv
1047.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1044.0,918.0,-3.0,0.0,3.0,377.3300128204092,0.0,0.0,1,1,session_20260913_152555.csv
1044.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1043.0,918.0,-1.0,0.0,1.0,126.12408087289566,0.0,0.0,1,1,session_20260913_152555.csv
1042.0,918.0,-1.0,0.0,1.0,62.59310724765329,0.0,0.0,1,1,session_20260913_152555.csv
1040.0,918.0,-2.0,0.0,2.0,250.43826696488625,0.0,0.0,1,1,session_20260913_152555.csv
1039.0,918.0,-1.0,0.0,1.0,122.28377172016256,0.0,0.0,1,1,session_20260913_152555.csv
1038.0,918.0,-1.0,0.0,1.0,128.03277638694607,0.0,0.0,1,1,session_20260913_152555.csv
1037.0,918.0,-1.0,0.0,1.0,123.42479110913747,0.0,0.0,1,1,session_20260913_152555.csv
1035.0,918.0,-2.0,0.0,2.0,252.9276374022392,0.0,0.0,1,1,session_20260913_152555.csv
1035.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
1031.0,918.0,-4.0,0.0,4.0,505.98965251496,0.0,0.0,1,1,session_20260913_152555.csv
1029.0,918.0,-2.0,0.0,2.0,249.4978855030197,0.0,0.0,1,1,session_20260913_152555.csv
1027.0,918.0,-2.0,0.0,2.0,250.72710861337103,0.0,0.0,1,1,session_20260913_152555.csv
1023.0,918.0,-4.0,0.0,4.0,499.4007191560126,0.0,0.0,1,1,session_20260913_152555.csv
1020.0,918.0,-3.0,0.0,3.0,374.4850830156871,0.0,0.0,1,1,session_20260913_152555.csv
1015.0,918.0,-5.0,0.0,5.0,626.2917266755666,0.0,0.0,1,1,session_20260913_152555.csv
1009.0,918.0,-6.0,0.0,6.0,750.919876828267,0.0,0.0,1,1,session_20260913_152555.csv
1002.0,915.0,-7.0,-3.0,7.615773105863909,950.7475507585866,0.0,0.0,1,1,session_20260913_152555.csv
995.0,913.0,-7.0,-2.0,7.280109889280518,906.546196958548,0.0,0.0,1,1,session_20260913_152555.csv
991.0,912.0,-4.0,-1.0,4.123105625617661,518.9756222020063,0.0,0.0,1,1,session_20260913_152555.csv
986.0,910.0,-5.0,-2.0,5.385164807134504,670.2384416657047,0.0,0.0,1,1,session_20260913_152555.csv
979.0,908.0,-7.0,-2.0,7.280109889280518,910.5600721924772,0.0,0.0,1,1,session_20260913_152555.csv
976.0,907.0,-3.0,-1.0,3.1622776601683795,395.423105614766,0.0,0.0,1,1,session_20260913_152555.csv
973.0,907.0,-3.0,0.0,3.0,373.9389482199088,0.0,0.0,1,1,session_20260913_152555.csv
971.0,907.0,-2.0,0.0,2.0,250.8277315207114,0.0,0.0,1,1,session_20260913_152555.csv
970.0,906.0,-1.0,-1.0,1.4142135623730951,87.72383956215141,0.0,0.0,1,1,session_20260913_152555.csv
970.0,904.0,0.0,-2.0,2.0,50.095180843978326,0.0,0.0,1,1,session_20260913_152555.csv
969.0,903.0,-1.0,-1.0,1.4142135623730951,175.6197998648633,0.0,0.0,1,1,session_20260913_152555.csv
967.0,903.0,-2.0,0.0,2.0,253.17737606324096,0.0,0.0,1,1,session_20260913_152555.csv
967.0,902.0,0.0,-1.0,1.0,17.85570802354388,0.0,0.0,1,1,session_20260913_152555.csv
965.0,901.0,-2.0,-1.0,2.23606797749979,279.46308443066545,0.0,0.0,1,1,session_20260913_152555.csv
963.0,901.0,-2.0,0.0,2.0,249.8407265371069,0.0,0.0,1,1,session_20260913_152555.csv
958.0,901.0,-5.0,0.0,5.0,626.1976029015266,0.0,0.0,1,1,session_20260913_152555.csv
953.0,899.0,-5.0,-2.0,5.385164807134504,672.078676022719,0.0,0.0,1,1,session_20260913_152555.csv
948.0,898.0,-5.0,-1.0,5.0990195135927845,636.0814232804167,0.0,0.0,1,1,session_20260913_152555.csv
943.0,897.0,-5.0,-1.0,5.0990195135927845,639.5278515943276,0.0,0.0,1,1,session_20260913_152555.csv
937.0,896.0,-6.0,-1.0,6.082762530298219,754.600916836986,0.0,0.0,1,1,session_20260913_152555.csv
931.0,892.0,-6.0,-4.0,7.211102550927978,893.6355306050467,0.0,0.0,1,1,session_20260913_152555.csv
927.0,890.0,-4.0,-2.0,4.47213595499958,561.8825956314956,0.0,0.0,1,1,session_20260913_152555.csv
923.0,888.0,-4.0,-2.0,4.47213595499958,551.6048047913691,0.0,0.0,1,1,session_20260913_152555.csv
920.0,886.0,-3.0,-2.0,3.605551275463989,457.9350067424369,0.0,0.0,1,1,session_20260913_152555.csv
915.0,883.0,-5.0,-3.0,5.830951894845301,731.8604665108387,0.0,0.0,1,1,session_20260913_152555.csv
914.0,882.0,-1.0,-1.0,1.4142135623730951,174.94415526261628,0.0,0.0,1,1,session_20260913_152555.csv
912.0,882.0,-2.0,0.0,2.0,246.86481682880125,0.0,0.0,1,1,session_20260913_152555.csv
910.0,881.0,-2.0,-1.0,2.23606797749979,283.24377446247735,0.0,0.0,1,1,session_20260913_152555.csv
908.0,879.0,-2.0,-2.0,2.8284271247461903,350.3346906369681,0.0,0.0,1,1,session_20260913_152555.csv
908.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
907.0,879.0,-1.0,0.0,1.0,61.785985702347176,0.0,0.0,1,1,session_20260913_152555.csv
906.0,879.0,-1.0,0.0,1.0,129.15558081596123,0.0,0.0,1,1,session_20260913_152555.csv
904.0,878.0,-2.0,-1.0,2.23606797749979,257.05476357993683,0.0,0.0,1,1,session_20260913_152555.csv
902.0,878.0,-2.0,0.0,2.0,275.58838119716404,0.0,0.0,1,1,session_20260913_152555.csv
899.0,878.0,-3.0,0.0,3.0,373.7013876761334,0.0,0.0,1,1,session_20260913_152555.csv
897.0,878.0,-2.0,0.0,2.0,250.10629518038667,0.0,0.0,1,1,session_20260913_152555.csv
889.0,878.0,-8.0,0.0,8.0,1004.016064213384,0.0,0.0,1,1,session_20260913_152555.csv
881.0,878.0,-8.0,0.0,8.0,998.5147093787142,0.0,0.0,1,1,session_20260913_152555.csv
874.0,878.0,-7.0,0.0,7.0,877.0281275543563,0.0,0.0,1,1,session_20260913_152555.csv
868.0,877.0,-6.0,-1.0,6.082762530298219,751.8308321291847,0.0,0.0,1,1,session_20260913_152555.csv
865.0,877.0,-3.0,0.0,3.0,377.59597229581055,0.0,0.0,1,1,session_20260913_152555.csv
863.0,876.0,-2.0,-1.0,2.23606797749979,279.655316240306,0.0,0.0,1,1,session_20260913_152555.csv
861.0,876.0,-2.0,0.0,2.0,249.5165616600399,0.0,0.0,1,1,session_20260913_152555.csv
861.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
861.0,876.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
860.0,876.0,-1.0,0.0,1.0,1.5062668231177705,0.0,0.0,1,1,session_20260913_152555.csv
859.0,876.0,-1.0,0.0,1.0,62.78488642299898,0.0,0.0,1,1,session_20260913_152555.csv
859.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
859.0,876.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
859.0,876.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
859.0,876.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
858.0,876.0,-1.0,0.0,1.0,0.5458449138881251,0.0,0.0,1,1,session_20260913_152555.csv
853.0,876.0,-5.0,0.0,5.0,628.5750204031165,0.0,0.0,1,1,session_20260913_152555.csv
850.0,873.0,-3.0,-3.0,4.242640687119285,530.2439212722417,0.0,0.0,1,1,session_20260913_152555.csv
849.0,872.0,-1.0,-1.0,1.4142135623730951,177.0732930604155,0.0,0.0,1,1,session_20260913_152555.csv
847.0,871.0,-2.0,-1.0,2.23606797749979,278.3983836369642,0.0,0.0,1,1,session_20260913_152555.csv
846.0,871.0,-1.0,0.0,1.0,124.5035421206143,0.0,0.0,1,1,session_20260913_152555.csv
845.0,869.0,-1.0,-2.0,2.23606797749979,281.2062801063788,0.0,0.0,1,1,session_20260913_152555.csv
844.0,868.0,-1.0,-1.0,1.4142135623730951,176.47007853185917,0.0,0.0,1,1,session_20260913_152555.csv
843.0,868.0,-1.0,0.0,1.0,124.59661845296272,0.0,0.0,1,1,session_20260913_152555.csv
843.0,867.0,0.0,-1.0,1.0,125.86849259683994,0.0,0.0,1,1,session_20260913_152555.csv
842.0,865.0,-1.0,-2.0,2.23606797749979,278.7072139520146,0.0,0.0,1,1,session_20260913_152555.csv
841.0,864.0,-1.0,-1.0,1.4142135623730951,176.47668492916267,0.0,0.0,1,1,session_20260913_152555.csv
839.0,862.0,-2.0,-2.0,2.8284271247461903,353.350214227957,0.0,0.0,1,1,session_20260913_152555.csv
836.0,860.0,-3.0,-2.0,3.605551275463989,452.78236808742855,0.0,0.0,1,1,session_20260913_152555.csv
835.0,859.0,-1.0,-1.0,1.4142135623730951,176.80763664167466,0.0,0.0,1,1,session_20260913_152555.csv
835.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
835.0,858.0,0.0,-1.0,1.0,63.76290401797342,0.0,0.0,1,1,session_20260913_152555.csv
835.0,858.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
835.0,858.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
834.0,856.0,-1.0,-2.0,2.23606797749979,3.037921615989463,0.0,0.0,1,1,session_20260913_152555.csv
829.0,851.0,-5.0,-5.0,7.071067811865476,882.4494960389876,0.0,0.0,1,1,session_20260913_152555.csv
823.0,845.0,-6.0,-6.0,8.48528137423857,1057.843663012574,0.0,0.0,1,1,session_20260913_152555.csv
823.0,844.0,0.0,-1.0,1.0,124.926605624288,0.0,0.0,1,1,session_20260913_152555.csv
821.0,843.0,-2.0,-1.0,2.23606797749979,281.3513485174656,0.0,0.0,1,1,session_20260913_152555.csv
820.0,842.0,-1.0,-1.0,1.4142135623730951,4.910784323325916,0.0,0.0,1,1,session_20260913_152555.csv
820.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
819.0,842.0,-1.0,0.0,1.0,62.76991061537856,0.0,0.0,1,1,session_20260913_152555.csv
817.0,844.0,-2.0,2.0,2.8284271247461903,350.1135252140636,0.0,0.0,1,1,session_20260913_152555.csv
817.0,845.0,0.0,1.0,1.0,126.1065852849887,0.0,0.0,1,1,session_20260913_152555.csv
817.0,846.0,0.0,1.0,1.0,125.02969455409443,0.0,0.0,1,1,session_20260913_152555.csv
817.0,849.0,0.0,3.0,3.0,375.0515695872983,0.0,0.0,1,1,session_20260913_152555.csv
817.0,850.0,0.0,1.0,1.0,125.2065908709708,0.0,0.0,1,1,session_20260913_152555.csv
817.0,852.0,0.0,2.0,2.0,248.289903288236,0.0,0.0,1,1,session_20260913_152555.csv
816.0,854.0,-1.0,2.0,2.23606797749979,281.98289712378016,0.0,0.0,1,1,session_20260913_152555.csv
816.0,857.0,0.0,3.0,3.0,374.23282270934135,0.0,0.0,1,1,session_20260913_152555.csv
816.0,858.0,0.0,1.0,1.0,124.6416552432565,0.0,0.0,1,1,session_20260913_152555.csv
815.0,862.0,-1.0,4.0,4.123105625617661,512.1870342148866,0.0,0.0,1,1,session_20260913_152555.csv
815.0,863.0,0.0,1.0,1.0,125.88909171364324,0.0,0.0,1,1,session_20260913_152555.csv
815.0,864.0,0.0,1.0,1.0,125.06878783395968,0.0,0.0,1,1,session_20260913_152555.csv
815.0,866.0,0.0,2.0,2.0,249.8064000342995,0.0,0.0,1,1,session_20260913_152555.csv
814.0,869.0,-1.0,3.0,3.1622776601683795,396.27043023044826,0.0,0.0,1,1,session_20260913_152555.csv
813.0,870.0,-1.0,1.0,1.4142135623730951,174.99177914014703,0.0,0.0,1,1,session_20260913_152555.csv
813.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
812.0,872.0,-1.0,2.0,2.23606797749979,280.374152383018,0.0,0.0,1,1,session_20260913_152555.csv
812.0,873.0,0.0,1.0,1.0,123.33497779981202,0.0,0.0,1,1,session_20260913_152555.csv
812.0,875.0,0.0,2.0,2.0,253.60756764885616,0.0,0.0,1,1,session_20260913_152555.csv
812.0,876.0,0.0,1.0,1.0,119.15826601048524,0.0,0.0,1,1,session_20260913_152555.csv
812.0,877.0,0.0,1.0,1.0,129.0222692397451,0.0,0.0,1,1,session_20260913_152555.csv
811.0,880.0,-1.0,3.0,3.1622776601683795,400.7448561995418,0.0,0.0,1,1,session_20260913_152555.csv
811.0,882.0,0.0,2.0,2.0,247.02336840026263,0.0,0.0,1,1,session_20260913_152555.csv
810.0,883.0,-1.0,1.0,1.4142135623730951,177.39091132950722,0.0,0.0,1,1,session_20260913_152555.csv
809.0,884.0,-1.0,1.0,1.4142135623730951,177.841521410887,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,-1.0,2.0,2.23606797749979,139.74900800508402,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,-1.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
808.0,884.0,0.0,-2.0,2.0,249.0846140452136,0.0,0.0,1,1,session_20260913_152555.csv
808.0,883.0,0.0,-1.0,1.0,25.02483715082513,0.0,0.0,1,1,session_20260913_152555.csv
807.0,882.0,-1.0,-1.0,1.4142135623730951,0.8259870017065135,0.0,0.0,1,1,session_20260913_152555.csv
807.0,881.0,0.0,-1.0,1.0,31.42855346931027,0.0,0.0,1,1,session_20260913_152555.csv
806.0,881.0,-1.0,0.0,1.0,0.1022078197322257,0.0,0.0,1,1,session_20260913_152555.csv
805.0,881.0,-1.0,0.0,1.0,123.35475594111657,0.0,0.0,1,1,session_20260913_152555.csv
